Opcode: 120 (SEI) 	 A: 0 	 X: 0 	 Y: 0 	stkP: 253 	status: 100000 	PC: 49156)
Opcode: 216 (CLD) 	 A: 0 	 X: 0 	 Y: 0 	stkP: 253 	status: 100100 	PC: 49157)
Opcode: 162 (LDX) 	 A: 0 	 X: 0 	 Y: 0 	stkP: 253 	status: 100100 	PC: 49158)
Opcode: 154 (TXS) 	 A: 0 	 X: 255 	 Y: 0 	stkP: 253 	status: 10100100 	PC: 49160)
Opcode: 173 (LDA) 	 A: 0 	 X: 255 	 Y: 0 	stkP: 255 	status: 10100100 	PC: 49161)
Opcode: 16 (BPL) 	 A: 0 	 X: 255 	 Y: 0 	stkP: 255 	status: 100110 	PC: 49164)
address_rel: 251Opcode: 173 (LDA) 	 A: 0 	 X: 255 	 Y: 0 	stkP: 255 	status: 100110 	PC: 49161)
Opcode: 16 (BPL) 	 A: 0 	 X: 255 	 Y: 0 	stkP: 255 	status: 100110 	PC: 49164)
address_rel: 251Opcode: 173 (LDA) 	 A: 0 	 X: 255 	 Y: 0 	stkP: 255 	status: 100110 	PC: 49161)
Opcode: 16 (BPL) 	 A: 0 	 X: 255 	 Y: 0 	stkP: 255 	status: 100110 	PC: 49164)
address_rel: 251Opcode: 173 (LDA) 	 A: 0 	 X: 255 	 Y: 0 	stkP: 255 	status: 100110 	PC: 49161)
Opcode: 16 (BPL) 	 A: 0 	 X: 255 	 Y: 0 	stkP: 255 	status: 100110 	PC: 49164)
address_rel: 251Opcode: 173 (LDA) 	 A: 0 	 X: 255 	 Y: 0 	stkP: 255 	status: 100110 	PC: 49161)
Opcode: 16 (BPL) 	 A: 0 	 X: 255 	 Y: 0 	stkP: 255 	status: 100110 	PC: 49164)
address_rel: 251Opcode: 173 (LDA) 	 A: 0 	 X: 255 	 Y: 0 	stkP: 255 	status: 100110 	PC: 49161)
Opcode: 16 (BPL) 	 A: 0 	 X: 255 	 Y: 0 	stkP: 255 	status: 100110 	PC: 49164)
address_rel: 251Opcode: 173 (LDA) 	 A: 0 	 X: 255 	 Y: 0 	stkP: 255 	status: 100110 	PC: 49161)
Opcode: 16 (BPL) 	 A: 0 	 X: 255 	 Y: 0 	stkP: 255 	status: 100110 	PC: 49164)
address_rel: 251Opcode: 173 (LDA) 	 A: 0 	 X: 255 	 Y: 0 	stkP: 255 	status: 100110 	PC: 49161)
Opcode: 16 (BPL) 	 A: 0 	 X: 255 	 Y: 0 	stkP: 255 	status: 100110 	PC: 49164)
address_rel: 251Opcode: 173 (LDA) 	 A: 0 	 X: 255 	 Y: 0 	stkP: 255 	status: 100110 	PC: 49161)
Opcode: 16 (BPL) 	 A: 0 	 X: 255 	 Y: 0 	stkP: 255 	status: 100110 	PC: 49164)
address_rel: 251Opcode: 173 (LDA) 	 A: 0 	 X: 255 	 Y: 0 	stkP: 255 	status: 100110 	PC: 49161)
Opcode: 16 (BPL) 	 A: 0 	 X: 255 	 Y: 0 	stkP: 255 	status: 100110 	PC: 49164)
address_rel: 251Opcode: 173 (LDA) 	 A: 0 	 X: 255 	 Y: 0 	stkP: 255 	status: 100110 	PC: 49161)
Opcode: 16 (BPL) 	 A: 0 	 X: 255 	 Y: 0 	stkP: 255 	status: 100110 	PC: 49164)
address_rel: 251Opcode: 173 (LDA) 	 A: 0 	 X: 255 	 Y: 0 	stkP: 255 	status: 100110 	PC: 49161)
Opcode: 16 (BPL) 	 A: 0 	 X: 255 	 Y: 0 	stkP: 255 	status: 100110 	PC: 49164)
address_rel: 251Opcode: 173 (LDA) 	 A: 0 	 X: 255 	 Y: 0 	stkP: 255 	status: 100110 	PC: 49161)
Opcode: 16 (BPL) 	 A: 0 	 X: 255 	 Y: 0 	stkP: 255 	status: 100110 	PC: 49164)
address_rel: 251Opcode: 173 (LDA) 	 A: 0 	 X: 255 	 Y: 0 	stkP: 255 	status: 100110 	PC: 49161)
Opcode: 16 (BPL) 	 A: 0 	 X: 255 	 Y: 0 	stkP: 255 	status: 100110 	PC: 49164)
address_rel: 251Opcode: 173 (LDA) 	 A: 0 	 X: 255 	 Y: 0 	stkP: 255 	status: 100110 	PC: 49161)
Opcode: 16 (BPL) 	 A: 0 	 X: 255 	 Y: 0 	stkP: 255 	status: 100110 	PC: 49164)
address_rel: 251Opcode: 173 (LDA) 	 A: 0 	 X: 255 	 Y: 0 	stkP: 255 	status: 100110 	PC: 49161)
Opcode: 16 (BPL) 	 A: 0 	 X: 255 	 Y: 0 	stkP: 255 	status: 100110 	PC: 49164)
address_rel: 251Opcode: 173 (LDA) 	 A: 0 	 X: 255 	 Y: 0 	stkP: 255 	status: 100110 	PC: 49161)
Opcode: 16 (BPL) 	 A: 0 	 X: 255 	 Y: 0 	stkP: 255 	status: 100110 	PC: 49164)
